"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "XML", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\OrderCardMini.module.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\OrderCardMini.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\PetCardMini.module.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\PetCardMini.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\Profile.module.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 3, 4, 26
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\ProfileCard.module.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 2, 0, 4
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\ProfileCard.tsx", "TypeScript JSX", 0, 0, -31, 0, 0, 0, 0, -1, -5, -37
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AccountComponents\ProfileComponent\ProfileComponent.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AuthComponents\AuthWrapper\AuthWrapper.tsx", "TypeScript JSX", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AuthComponents\LoginForm\LoginForm.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 2, 5, 88
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\AuthComponents\RegisterForm\RegisterForm.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 0, -1, 13, 58
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\BackgroundComponents\Background.module.css", "CSS", 0, 0, 0, 0, 94, 0, 0, 3, 14, 111
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\BackgroundComponents\Background.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\GlassWrapper\CardGlassWrapper.module.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\GlassWrapper\CardGlassWrapper.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\GlassWrapper\GlassWrapper.module.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\GlassWrapper\GlassWrapper.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\GlassWrapper\StyledButton.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\GlassWrapper\StyledTextfield.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\NavbarComponents\Footer\Footer.module.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\NavbarComponents\Footer\Footer.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\NavbarComponents\Navbar\Navbar.module.css", "CSS", 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\NavbarComponents\Navbar\Navbar.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\RoomsPageComponents\RoomsPageCarousel.module.css", "CSS", 0, 0, 0, 0, 17, 0, 0, 8, 6, 31
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\RoomsPageComponents\RoomsPageCarousel.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 0, 38
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\RoomsPageComponents\RoomsPageModal.module.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 2, 11, 61
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\components\RoomsPageComponents\RoomsPageModal.tsx", "TypeScript JSX", 0, 0, 405, 0, 0, 0, 0, 15, 7, 427
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\index.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 12, 7, 46
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\AccountPage\AccountPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\AccountPage\AccountPage.tsx", "TypeScript JSX", 0, 0, -7, 0, 0, 0, 0, 0, 0, -7
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\HomePage\HomePage.css", "CSS", 0, 0, 0, 0, 34, 0, 0, 15, 10, 59
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\HomePage\HomePage.module.css", "CSS", 0, 0, 0, 0, 83, 0, 0, 8, 10, 101
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\HomePage\HomePage.tsx", "TypeScript JSX", 0, 0, 89, 0, 0, 0, 0, 16, 6, 111
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\OrderPage\OrderPage.module.css", "CSS", 0, 0, 0, 0, -7, 0, 0, 0, 0, -7
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\OrderPage\OrderPage.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\PetPage\PetPage.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\RoomsPage\RoomsPage.module.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 1, 7, 65
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\RoomsPage\RoomsPage.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\comment\async-action.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\comment\commentSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
